;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
NOT_IN_DYNASTY;²»ÊÇ¸Ã¼Ò×åµÄ³ÉÔ±;N'est pas un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2H;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§WÒÔÄĞ·½Èë×¸ÎªÇ°Ìá½á»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$£¬§Y$MYPARTY$§WºÍÄã½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2A;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$? ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2B;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§WºÍÄã½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2C;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2D;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$£¬§Y$MYPARTY$§WºÍÄã½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2E;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2F;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§WºÍÄã½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2G;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2H;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§W¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$£¬§Y$MYPARTY$§WºÍÄã½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2A;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§WÒÔÄĞ·½Èë×¸ÎªÇ°Ìá¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$? ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2B;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§WÒÔÄĞ·½Èë×¸ÎªÇ°Ìá¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§WºÍÄã½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2C;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§WÒÔÄĞ·½Èë×¸ÎªÇ°Ìá¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2D;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§WÒÔÄĞ·½Èë×¸ÎªÇ°Ìá¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$£¬§Y$MYPARTY$§WºÍÄã½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2E;ÌáÒéÈÃ§Y[ActorExtra.GetTitledFirstName]§WºÍ§Y[RecipientExtra.GetTitledFirstName]§WÒÔÄĞ·½Èë×¸ÎªÇ°Ìá¶©»é¡£×÷ÎªÒ»Î»$MYPARTYTIER$µÄÇ×Êô£¬§Y$MYPARTY$§W½«»áÒòÎªÓë§YHouse [RecipientExtra.GetOnlyDynastyName]§W¼Ò×å³ÉÔ±½á»é¶ø»ñµÃ$PRESTIGE$ÍşÍûÖµ£¬ÓÖÒòÎªÓëÒ»Î»$THEIRPARTYTIER$µÄÇ×Êô½á»é£¬»ñµÃ$PRESTIGE2$ÍşÍûÖµ¡£;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
