;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC91355;Ò²ĞíÎÒ¿ÉÒÔÇóÓÚ [From.GetHerHis] Ì°À·µÄÒ»Ãæ...;Peut-être pourrai-je faire appel ?son côt?cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
ERA_SELECTION_TEXT;Ã¿¸öÊ±´ú¶¼ÓĞÆäÌØµãºÍÌôÕ½. Ã¿¸öÊ±´úÆäÖĞÒ»Ğ©ÓĞÈ¤µÄÊÇ:\n- ÔçÆÚÖĞÊÀ: ¼ÓÂåÁÖµÛ¹ú, Æ¤¿ËÌØÈË, ×îÔçµÄÎ¬¾©½ÙÂÓ, ½¨Á¢ÉñÊ¥ÂŞÂíµÛ¹ú, °İÕ¼Í¥µÛ¹úºÍÊ¥ÏóÆÆ»µÔË¶¯.\n- Î¬¾©Ê±´ú: Î¬¾©ÈË¹ú¶È, ÓÌÌ«½Ì¿ÉÈøÈË, ¼ÓÂåÁÖµÛ¹úµÄ¼ÌÈÎÕß, ÙÁÂíÑÇºÍÂŞÊªÍÓÂŞ¾ĞÍÓ.\n- ÖĞÊÀÊ¢ÊÀ: Õ÷·şÕßÍşÁ®, ÈûÁğ¹ÅÍ»ØÊ, »ù¸¨ÂŞË¹, ·ÖÁÑµÄÎ÷°àÑÀºÍÀ­¼ÖË¹Ì¹. °İÕ¼Í¥×îÍí¿ÉÓÃÄê·İ.\n- ÃÉ¹ÅÊ±´ú: ½ğÕÊº¹¹ú, ÒÁ¶ûº¹¹ú, Ó¡¶ÈµÄÄÂË¹ÁÖ¹ÅÀ­Ä·.\n- ÍíÆÚÖĞÊÀ: °ÙÄêÕ½Õù, °ÂË¹Âü, Á¢ÌÕÍğ, ÃÉ¹Åº¹¹ú, Í¼¸ñÂ³¿ËÍõ³¯, »ù¶½½ÌÏÂµÄÎ÷°àÑÀ.;Chaque époque vous propose des défis et une atmosphère uniques. Voici quelques exemples?\n- Le haut Moyen Âge? l'Empire carolingien, les Pictes, les premières attaques des Vikings, la fondation du Saint-Empire romain germanique, les iconoclastes byzantins\n- L'ère des Vikings? les royaumes vikings, les Khazars juifs, les royaumes carolingiens, les Omeyyades, les Rashtrakutas.\n- Le Moyen Âge central? Guillaume le Conquérant, les Turcs seldjouks, la Rus de Kiev, les royaumes divisés d'Espagne et du Rajastan. Un début tardif pour un Empire byzantin puissant.\n- L'ère des Mongols? la Horde d'Or, l'Ilkhanat, les Ghulams musulmans d'Inde.\n- Le bas Moyen Âge? la guerre de Cent Ans, les Ottomans, la Lituanie, les Khanats mongols, la dynastie des Tughluq, l'Espagne chrétienne.;Jedes Zeitalter bietet verschiedene Herausforderungen und Besonderheiten. Hier einige interessante Beispiele\n - Frühmittelalter: Karolingerreich, Pikten, die ersten Wikingerüberfälle, Gründung des Heiligen Römischen Reiches, byzantinischer Ikonoklasmus.\n - Wikingerzeitalter: Wikingerreiche, jüdisches Khasarenreich, Nachfolgestaaten des Karolingerreiches, Umayyaden und Rashtrakuta.\n - Hochmittelalter: Wilhelm der Eroberer, seldschukische Türken, Kiewer Rus, Splitterstaaten in Spanien und Radschastan. Spätester Start mit starkem Byzanz.\n - Mongolenzeitalter: Goldene Horde, Ilkhanat, muslimische Ghulam in Indien.\n - Spätmittelalter: Hundertjähriger Krieg, Osmanen, Litauen, Mongolen, Tughluq-Dynastie, christliches Spanien.;;Cada época te presentar?diferentes retos y una experiencia diferente. Aqu?encontrarás algunos de los destacados de cada uno:\n- Temprana Edad Media: Imperio Carolingio, Pictos, las primeras incursiones vikingas, creación del Sacro Imperio Romano, iconoclasía bizantina.\n- Época Vikinga: reinos vikingos, Jázaros judíos, reinos sucesorios carolingios, Omeyas y Rashtrakutas.\n- Plena Edad Media: Guilermo el Conquistador, Turcos Selyúcidas, la Rus de Kiev, fragmentación de los reinos de España y Rajastán. La parte final de esta era empieza con un poderoso Bizancio.\n Época de los Mongoles: Horda Dorada, Ilkanato, Ghulam muslmanes en la India.\n- Crisis de la Edad Media: La Guerra de los Cien Años, otomanos, Lituania, Kanatos Mongoles, dinastia tughlúquida, España cristiana.;;;;;;;;;x
convert_to_parent_religion;ğ§ÒÀÕıÍ³×Ú½Ì;Abandonner l'hérésie;Häresie aufgeben;;Abandonar Herejía;;;;;;;;;x
raise_tribal_units;ÕÙ¼¯²¿Âä¾ü¶Ó;Lever une armée tribale;Stammesarmee rekrutieren;;Armar Ejército Tribal;;;;;;;;;x
raise_tribal_units_desc;ÎÒ¿ÉÒÔÕÙ¼¯ÖÒĞÄµÄ [Root.Culture.GetName]ÓÂÊ¿ÒÔÖúÕ½ÊÂ. ÎÒµÄÃûÉùÔÚÍâ,Ó°Ïì¹ã·º,ËûÃÇ¶¨»áÇ°À´. µ«ºÍÆ½µ½À´,ËûÃÇ±ã»á»Ø¼ÒÖÖÌï. ËûÃÇÎªÈÙÓş¶ø²»ÊÇ²Æ¸»×÷Õ½,µ«¸ºÔğ²¹¸øµÄÈÔÈ»ÊÇÎÒ.;Je peux lever une armée de guerriers de culture [Root.Culture.GetName] fiables et tenaces pour combattre dans cette guerre. Ils viendront certainement car mon prestige et mon influence dans ces terres sont grands, mais si la paix survient, ils rentreront chez eux. Ils se battent principalement pour l'honneur, mais je devrai payer leur nourriture et leur approvisionnement.;Ich kann für den Krieg eine Armee aus treuen und standhaften [Root.Culture.GetName] Kriegern aufstellen. Mit Sicherheit werden sie mir folgen, denn mein Prestige und mein Einfluss in diesen Landen ist gro? Doch sobald Frieden herrscht, werden sie nach Hause zurückkehren. Sie kämpfen primär für die Ehre, allerdings muss ich für Verpflegung und Unterhalt aufkommen.;;Puedo convocar un ejército de verdaderos e incondicionales guerreros [Root.Culture.GetName] para luchar en la guerra. Acudirán con certeza, ya que en estas tierras tengo mucho Prestigio e Influencia, pero cuando llegue la paz regresarán a sus hogares. Lucharán por honor, pero yo tendr?que pagarles su manutención y otras provisiones.;;;;;;;;;x
EXPENSE_EVENT_LEVIES;ÊÂ¼ş¾ü¶ÓÎ¬»¤·Ñ;Payer l'entretien de l'armée embauchée;Unterhalt für angeworbene Event-Armee;; Evento Contratado Ejército Mantenimiento;;;;;;;;;x
EXPENSE_EVENT_FLEETS;ÊÂ¼ş´¬Ö»Î¬»¤·Ñ;Payer l'entretien de la flotte embauchée;Unterhalt für angeworbene Event-Flotte;;Evento Contratado Ejército Mantenimiento;;;;;;;;;x
HIRED_COSTS;¹ÍÓ¶±øÎ¬»¤·Ñ: §Y$MERC$§!\nÊÂ¼ş¾ü¶ÓÎ¬»¤·Ñ: §Y$EVENT$§!;Entretien des mercenaires? §Y$MERC$?\nEntretien des troupes réservistes? §Y$EVENT$?;Söldnerunterhalt: §Y$MERC$?\nEvent-Truppen-Unterhalt: §Y$EVENT$?;;???Mantenimiento Mercenarios: §Y$MERC$?\nMantenimiento Acciones de las Tropas: §Y$EVENT$?;;;;;;;;;x
SPAWN_UNIT_EFFECT_MAINTENANCE;Ã¿ÔÂÎ¬»¤: §R$COST$§!¤ ;Entretien mensuel? §R$COST$??Monatlicher Unterhalt: §R$COST$??;Mantenimiento Mensual: §R$COST$??;;;;;;;;x
SPAWN_UNIT_EFFECT;Ò»Ö§§Y$NUM_TROOPS$§!-ÈËµÄ¾üÍÅÒÑ¾­µÖ´ï §Y$WHERE$§!.;Un régiment fort de §Y$NUM_TROOPS$? hommes arrive en §Y$WHERE$?;Ein §Y$NUM_TROOPS$? Mann starkes Regiment erreicht §Y$WHERE$?;;Un regimiento de §Y$NUM_TROOPS$? personas llega a §Y$WHERE$?;;;;;;;;;x
SPAWN_UNIT_EFFECT_SHIPS;§Y$NUM_SHIPS$§! ´¬Ö»ÒÑ¾­µÖ´ï§Y$WHERE$§!.;Une flotte forte de §Y$NUM_SHIPS$? navires arrive en §Y$WHERE$?.;§Y$NUM_SHIPS$? Schiffe erreichen §Y$WHERE$?.;;§Y$NUM_SHIPS$? barcos llegan a §Y$WHERE$?.;;;;;;;;;x
nick_the_hunchback;ÍÕ±³;le Bossu;der Bucklige;;el Jorobado;;;;;;;;;x
EVTDESC_CM_1040;Ø§Æ½,ÊÇÄãµÄË½Éú×Ó, ËûÒ²ĞíÄÜ³¤³É·¨À­¿ËÈË³ÆÖ°µÄÍ³ÖÎÕßÒ²²»Ò»¶¨§! ËûµÄÉíÌåÙøÈõÅ¤Çú, µ«ÄÜÉÏÌìÀÍÆä½î¹Ç¿àÆäĞÄÖ¾,»òĞí×¢¶¨ÒªÈÃËû³É¾Í´óÈÎ§!;Votre fils Pépin est illégitime, mais peut-être réussira-t-il ?devenir digne de diriger les Francs? Son corps est tordu et il semble fragile, mais un garçon qui dépasse un châtiment si injuste pourrait devenir un souverain encore plus puissant.;Euer Sohn Pippin ist unehelich, doch vielleicht könnte aus ihm ein würdiger fränkischer Herrscher werden. Sein Körper ist verwachsen und der Junge scheint schwächlich, doch wenn er sich im Leben gegenüber solchen Widernissen durchsetzen kann, würde dann nicht ein besonders starker Herrscher aus ihm?;;Tu hijo Pipino es ilegítimo, pero ¿podría quiz?llegar a convertirse en un hombre merecedor de gobernar a los francos? Su cuerpo se retuerce y se ve frágil, pero un niño que vence este tipo de castigos injustos en la vida ¿podría tal vez con el tiempo convertirse en un gobernante aún más fuerte?;;;;;;;;;x
EVTOPTA_CM_1040;ÈÃËû³ÉÎªÎÒºÏ·¨µÄ¶ù×Ó!;Je le reconnaîtrai comme l'un des miens?;Ich werde ihn legitimieren!;;¡Le legitimar?;;;;;;;;;x
EVTOPTB_CM_1040;»¹ÊÇËãÁË.;Non, vraiment pas.;Ich glaube nicht.;;Pienso que no;;;;;;;;;x
EVTOPTB_CM_1100;ÏÖÔÚÏÈ²»Òª²ÙĞÄËû°É.;Laissez-les tranquilles pour le moment.;Lasst sie fürs Erste in Ruhe.;;Ahora, dejales en paz;;;;;;;;;x
EVTTITLE_CM_1003;[From.GetFirstName]Ö®ËÀ;La mort de [From.GetFirstName];Der Tod von [From.GetFirstName];;El muerte de[From.GetFirstName];;;;;;;;;x
tribal_barony_of;²¿ÂäÍÁµØ;Terres tribales de;Stammesland von;;Tierras Tribales de;;;;;;;;;x
EVTTITLE_CM_1010;Â×°ÍµÚ¹«Ö÷;La princesse lombarde;Die lombardische Prinzessin;;La Princesa Lombarda;;;;;;;;;x
EVTDESC_CM_1010;±İÏÂ,ÄúµĞÈËµÄÊµÁ¦ÓëÈÕ¾ãÔö, ¼´±ãÄúµÄ·â³¼¸÷¸öÖÒĞÄ²»¶ş, µ«ÔÚ·¨À¼¿ËÈË¹ú¶ÈÖ®ÍâÑ°ÇóÃËÓÑÒ²ÊÇÁ¼Ä±. Èç¹ûÄúÔ¸Òâ,Ó­È¢Â×°ÍµÚ¹úÍõÖî¶àÅ®¶ùÖ®Ò»,¶¨¿ÉÊµÁ¦´óÔö,ÒÔ±ã¶Ô¿¹ÄúµÜµÜµÄ¹î¼Æ.;Mon seigneur, vos ennemis deviennent plus puissants. Vos vassaux sont sans l'ombre d'un doute loyaux envers vous, mais il serait prudent de rechercher des alliances hors du royaume franc. Si vous épousez la fille du roi de Lombardie, vous pourriez gagner un puissant alli?si les choses deviennent incontrôlables suite aux machinations de votre fourbe de frère.;Fürst, die Macht Eurer Feinde nimmt stetig zu. Auch wenn Eure Vasallen über jeden Zweifel erhaben sind, so wäre es doch für ratsam, sich um Bündnispartner außerhalb des Frankenreiches zu bemühen. Würdet Ihr die Tochter des Königs der Lombardei heiraten, gewännet Ihr einen mächtigen Verbündeten, der Euch gegen die Machenschaften Eures Bruders zur Seite stünde.;;Mi Señor, el poder de sus enemigos est?creciendo incesantemente, sin duda sus vasallos le serán fieles, pero quiz?sería prudente buscar alianzas fuera del reino de los francos. Si usted contrajera matrimonio con la hija del rey lombardo, conseguiría un poderoso aliado en caso de que las cosas amenazaran de írsenos de las manos a causa de las retorcidas maquinaciones de tu hermano.;;;;;;;;;x
EVTOPTA_CM_1010;Õâ³¡»éÒöºÃ´¦¶à¶à.;Oui, ce sera un bon mariage.;Ja, das wäre eine gute Heirat.;;S? esto ser?un matrimonio bueno;;;;;;;;;x
EVTOPTB_CM_1010;ÎÒ²Å²»ÒªÈÃÂ×°ÍµÚÈËÉÏÎÒ´²ÄØ!;Je ne veux pas d'une Lombarde dans mon lit?;Jemand aus der Lombardei kommt mir nicht ins Bett!;; ¡No lombardos en mi cama!;;;;;;;;;x
EVTTITLE_CM_1011;Â×°ÍµÚÍõºó;La reine lombarde;Die lombardische Königin;;La Reina Lombarda;;;;;;;;;x
EVTDESC_CM_1011;±İÏÂ, ²»ÉÙ³¼Êô¶Ô´Ë²»Âú. Ó­È¢ [Root.Spouse.GetFirstName] ×ÔÈ»ÔÚÕşÖÎÉÏÓĞÆä×÷ÓÃ, µ«È¢Ò»¸öÀ´×ÔÂ×°ÍµÚ,ÎÒÃÇ¾ÉµĞµÄ¹«Ö÷¶ÔºÜ¶àÈËÀ´ËµÄÑÒÔ½ÓÊÜ. Èç½ñÕâÖÖ²»ÂúÒÑ¾­¿ÉÄÜµ¼ÖÂÄúÊ§È¥Ò»Ğ©¹ó×åµÄÖ§³Ö. ÏÖÔÚĞŞÁËËı»¹ÎªÊ±²»Íí..;Mon seigneur, les seigneurs du royaume sont très mécontents. Il est acquis que votre mariage avec [Root.Spouse.GetFirstName] était une excellente décision politique, mais beaucoup peinent ?accepter le fait que vous ayez accept?d'épouser une princesse originaire d'un royaume qui fut longtemps notre ennemi jur? Nous en sommes ?un point o?vous pourriez perdre l'appui de certains nobles. Mais il n'est peut-être pas trop tard pour arranger la situation...;Fürst, im Reich herrscht viel Unzufriedenheit. Zwar verstehen die Fürsten, dass Eure Heirat mit [Root.Spouse.GetFirstName] einen gewissen politischen Nutzen hat, dennoch ist es für sie schwer zu akzeptieren, dass Ihr eine Prinzessin unseres langjährigen lombardischen Erzfeindes geheiratet habt. Bereits jetzt droht Euch der Verlust der Unterstützung einiger Adliger. Doch vielleicht ist es noch nicht zu spät für Gegenmaßnahmen zur Bereinigung der Situation ...;;Mi Señor, hay muchísimas quejas entre los señores del reino. Aunque comprenden que su matrimonio con [Root.Spouse.GetFirstName] es de gran utilidad política, les cuesta aceptar que se haya casado con una princesa perteneciente al viejo reino enemigo de los lombardos. Se ha llegado al punto de que podría incluso llegar a perder el apoyo de algunos nobles. Pero puede que aún no sea demasiado tarde para rectificar la situación...;;;;;;;;;x
EVTOPTA_CM_1011;ÎÒ¾ÍÖªµÀ, ĞŞÁËËı!;Je savais que c'était une mauvaise idée, je vais la répudier.;Ich wusste, es war eine schlechte Idee. Ich werde mich von ihr lossagen.;;Sabía que no era una buena idea. Renunciar?a ella.;;;;;;;;;x
EVTOPTB_CM_1011;ËıÏÖÔÚÊÇÎÒµÄÍõºó, Ò²ÊÇËûÃÇµÄÍõºó.;Elle est leur reine, ils devront s'y faire.;Sie ist die Königin. Damit müssen sie zurechtkommen.;;;;;;;;;;;x
EVTDESC_CM_1076;[From.GetDynName], ËÀÈ¥²»¾ÃµÄ[FromFrom.GetTitledName]µÄÒÅæ×, À´µ½ÄãÃÅÇ°, ÆòÇó¸øÓèËıÓëËıº¢×Ó±£»¤. ËıÉù³ÆËıÍö·òÏÕ¶ñµÄĞÖµÜ»áºÁ²»ÁôÇéµÄÄ±É±ËıÃÇ, ÒÔÈ¡µÃ¶Ô¹ú¶ÈµÄ¿ØÖÆ.;[From.GetDynName], la veuve de [FromFrom.GetTitledName], récemment décéd? se présente ?votre porte et demande asile pour elle et ses enfants. Elle dit que le méchant frère de feu son mari l'a assassin?de sang-froid afin de prendre le contrôle du royaume, et elle craint pour sa vie désormais.;[From.GetDynName], die Frau des kürzlich verstorbenen [FromFrom.GetTitledName], bittet um Einlass und möchte, dass ihr und ihren Kindern Zuflucht gewährt wird. Sie behauptet, ihr Mann sei von seinem eigenen Bruder kaltblütig ermordet worden. Nun fürchtet auch sie um ihr Leben, denn ihr Schwager möchte das Reich an sich reißen.;;[From.GetDynName], la esposa del recientemente traspasado [FromFrom.GetTitledName], ha llamado a tu puerta pidiendo refugio para ella y sus retoños. Sostiene que el malvado hermano de su difunto marido le asesin?a sangre fría para hacerse con el control del reino, y ahora teme también por su vida.;;;;;;;;;x
EVTOPTA_CM_1076;Äã¿ÉÒÔ°ÑÕâÀïµ±×Ô¼Ò.;Vous serez la bienvenue ici.;Seid willkommen.;;Usted ser?bienvenido aqu?;;;;;;;;x
EVTOPTB_CM_1076;ÓëÎÒÎŞ¹Ø.;Navr? cela ne me concerne pas.;Tut mir leid, das ist nicht mein Problem.;; Lo siento, esto no me importa;;;;;;;;;x
EVTDESC_CM_1077;ÄãÌıËµ [FromFromFrom.GetFirstName]µÄÆŞ×Ó[FromFrom.GetDynName] Ç°Íù [From.GetTitledName]µÄ³¯Í¢ÇóµÃ±£»¤. Õâ¿´ÆğÀ´ÏñÊÇÒ»³¡Ê²Ã´ÒõÄ±..;Le bruit court que la femme de [FromFromFrom.GetFirstName], [FromFrom.GetDynName], a trouv?refuge ?la cour de [From.GetTitledName]. Ils sont certainement en train de comploter contre vous ?l'heure qu'il est...;Wie man Euch mitgeteilt hat, wurde der Frau von [FromFromFrom.GetFirstName], [FromFrom.GetDynName], Zuflucht am Hofe von [From.GetTitledName] gewährt. Mit Sicherheit wird nun eine Verschwörung gegen Euch angezettelt ...;;Te ha llegado que [FromFrom.GetDynName], esposa de [FromFromFrom.GetFirstName] se ha refugiado en la corte de [From.GetTitledName]. Seguramente estén elaborando una conspiración contra ti...;;;;;;;;;x
EVTOPTA_CM_1077;ËûÃÇ³Ô²»ÁË¶µ×Å×ß.;Cela ne sera pas sans conséquence.;Das bleibt nicht ungesühnt.;;Esto no quedar?impune.;;;;;;;;;x
EVTDESC_CM_1078;ÄãµÄÊ¿±øÑºÀ´ÁË [FromFromFrom.GetFirstName]µÄ¼ÒÈË. [FromFrom.GetDynName] ¹òÔÚÄãÃæÇ°, ÆòÇóÈÊ´È.;Vos soldats vous amènent la famille de [FromFromFrom.GetFirstName]. [FromFrom.GetDynName] tombe ?genoux et implore votre miséricorde.;Eure Soldaten führen Euch die Familie von [FromFromFrom.GetFirstName] vor. [FromFrom.GetDynName] fällt auf die Knie und bettelt um Gnade.;;Tus soldados han traído la familia de [FromFromFrom.GetFirstName] ante ti. [FromFrom.GetDynName] se arrodilla, suplicando tu misericordia.;;;;;;;;;x
EVTOPTA_CM_1078;ËÍËûÃÇÈ¥½Ì»á;Envoyez-les dans des couvents.;Schließt sie in Gotteshäusern ein.;;Enciérralos en centros religiosos.;;;;;;;;;x
EVTOPTB_CM_1078;ËûÃÇ±ØĞëËÀ,±ğÎŞËû·¨.;Qu'ils meurent.;Sie müssen sterben. Es gibt keine Alternative.;;Deben morir, no hay otra solución;;;;;;;;;x
EVTDESC_CM_1080;[From.GetDynName] À´µ½ÄãÃÅÇ°,ÇëÇó±£»¤. ËûÃÇÎŞÒÀÎŞ¿¿,Ö»ÓĞÅ®ÈËºÍº¢×Ó. Ëı²ü¶¶µÄÇóÄã:"ÎÒµÄºÃ±İÏÂ, ÎÒÒ»ÎŞËùÓĞ, Ö»Ï£ÍûÄúÄÜ¸øÓèÈÊ´È. ÎÒ²¢·ÇÊÇÄúµÄµĞÈË,ÄúµÄĞÖµÜ²ÅÊÇ°¡.";[From.GetDynName] se présente ?vos portes et implore votre protection. Cette femme est démunie et seule avec son enfant. Sa voix est faible et tendue? «Mon seigneur, je n'ai plus rien, je me jette ?vos pieds et je m'en remets ?votre miséricorde. Souvenez-vous que ce n'est pas moi votre ennemie, c'est mon frère.?[From.GetDynName] steht vor den Toren und bettelt um Schutz. Sie wirken heruntergekommen und allein, Mutter wie Kind. Mit leiser, angstvoller Stimme wendet sie sich an Euch: 'Mein Fürst, nichts ist mir geblieben. Deshalb werfe ich mich Euch zu Füßen und hoffe auf Eure Gnade. Bitte vergesst nicht, dass Euer Bruder, nicht ich, Euer Feind war.';;[From.GetDynName] ha aparecido ante tu puerta, suplicándote protección. Están solos y desamparados, mujer y niño. Insegura y nerviosa dice: "Mi Señor, no me queda nada, me postro a vuestros pies y confío en vuestra piedad. Recordad que vuestro enemigo no soy yo, sino vuestro hermano".;;;;;;;;;x
EVTOPTA_CM_1080;ÄÇ¾ÍÈ¥µ±ĞŞÅ®°É;Qu'elle aille au couvent.;Ins Kloster mit dir.;;Al convento contigo.;;;;;;;;;x
EVTOPTB_CM_1080;ÑıÄõ,½ñÈÕ²»´¦,±ØÁôºó»¼.;Cette famille est irrécupérable, tuez-les.;Schlangengezücht muss man töten, bevor es zubeißt.;;Las serpientes ponedoras deben matarse antes de que muerdan.;;;;;;;;;x
EVTTITLE_CM_1120;ÎÒµÄĞÖµÜ;La gardienne de mon frère;Die Hüterin meines Bruders;;La guardiana de mi hermano;;;;;;;;;x
EVTDESC_CM_1120;ÄãµÄÄ¸Ç×Ç°À´¼ûÄã. '¶ù×Ó,ÄãĞÖµÜÃÜÄ±Õë¶ÔÄã,Î£º¦Äã. ÎÒÖªµÀÄã°®ËûÈçÎÒ°®ËûÒ»°ã, µ«²»ÄÜ¼ÌĞøÕâÑù. Èç¹ûÄãÍ¬Òâ, ÎÒ»áÈ¥¼ûËû, µ÷½â·×Õù. Ëû¶¨²»ÄÜ×è°­Äã³ÉÎª·¨À¼¿ËÈËµÄÍõ, µ«ÎÒÅÂÒ»³¡ÑªÕ½ÔÚËùÄÑÃâ. ÏàĞÅÎÒ, ÕâÑù¸üºÃ.'\n\nÄã×ĞÏ¸´òÁ¿×ÅÄãÄ¸Ç×,³¢ÊÔÃ÷°×ËıÕæÕıµÄÒâÍ¼. ËıÑÛÖĞ³äÂú¹û¾ö.;Votre mère vient vous parler. « Votre frère complote contre vous. Je sais que vous le chérissez autant que moi, mais il faut faire quelque chose. Avec votre permission, j'irai personnellement le voir et ferai le nécessaire pour résoudre ce conflit. Il ne doit pas entraver votre destin de Roi de tous les Francs, et je crains une guerre sanglante. Faites-moi confiance, ce sera mieux ainsi. »\n\nVous contemplez pensivement votre mère, tentant de sonder son esprit. Son regard semble étrangement détermin?;Eure Mutter sucht Euch auf und sagt: 'Mein Sohn, die Verschwörung Eures Bruders ist gefährlich. Es muss etwas unternommen werden, auch wenn ich wei? dass Ihr ihn ebenso sehr liebt wie ich. Mit Eurer Erlaubnis werde ich ihn aufsuchen und tun, was getan werden muss, damit dieser Konflikt endet. Er darf Eurem Schicksal als Herrscher aller Franken nicht entgegenstehen, aber ich fürchte einen blutigen Krieg. Vertraut mir, es wird besser so sein.'\n\nIhr schaut nachdenklich zu Eurer Mutter und versucht, ihre Gedanken zu erahnen. In ihren Augen ist ein seltsamer Ausdruck der Entschlossenheit.;;Tu madre ha venido a verte. "Hijo mío, el complot de tu hermano contra ti es peligroso. S?que lo quieres tanto como yo, pero algo hay que hacer. Si me lo permites, ir?a verle y har?lo que sea necesario para resolver este conflicto. No debe entrometerse en tu camino, cumpliendo tu destino como gobernante de todos los francos, pero temo a una guerra sangrienta. Confía en mi, ser?mejor as?"\n\nMiras pensativo a tu madre, intentando leer su mente. Hay una extraña mirada de determinación en sus ojos.;;;;;;;;;x
EVTOPTA_CM_1120;ºÃ°ÉÄ¸Ç×, È¥°É.;Oui, mère, allez résoudre ce problème.;Ja, Mutter. Geht und kümmert Euch darum.;;Si Madre, puedes ir y resolver esto;;;;;;;;;x
EVTOPTB_CM_1120;ÕâºÁÎŞÒâÒå.;C'est inutile.;Das wäre sinnlos.;;No hay ninguna razón.;;;;;;;;;x
EVTDESC_CM_1121;ÄãµÄÄ¸Ç×±´¶ûÌØÀ­´ïÒ»ĞĞÀ´µ½ÃÅÇ°. ËıÖ»´øÁË¼¸¸öËæ´Ó, ÒªÇóÀ´¼ûÄã. ÈÃËı½øÀ´Âğ?;Votre mère Bertrada se présente ?vos portes. Elle ne voyage qu'avec une petite escorte et demande ?vous voir. La laisserez-vous entrer?;Eure Mutter Bertrada ist vor den Toren. Sie ist mit einem Minimum an Gefolge unterwegs und bittet um ein Treffen. Sollen wir sie einlassen?;;Tu madre Bertrada se ha presentado en la puerta. Viaja con una pequeña escolta y pide audiencia contigo. ¿Debemos dejarla entrar?;;;;;;;;;x
EVTOPTA_CM_1121;ÈÃËı½øÀ´.;Oui, qu'elle entre.;Ja, lasst sie herein.;;S? deja la entrar;;;;;;;;;x
EVTOPTB_CM_1121;ÎÒ¶ÔËıÃ»ÓĞÊ²Ã´ºÃËµµÄ.;Je n'ai rien ?dire ?cette femme.;Ich habe dieser Frau nichts zu sagen.;;No tengo nada que decir a esa mujer;;;;;;;;;x
EVTTITLE_CM_1122;Ä¸×Ó;Mère et fils;Mutter und Sohn;; Madre y hijo;;;;;;;;;x
EVTDESC_CM_1122;ÄãÓëÄãÄ¸Ç×¹²½øÍí²Í, ËıÌáµ½ÄãÄêÇáµÄÊ±ºòÒÔ¼°ËıÓĞ¶à°®Äã:'ÎÒÖªµÀÎÒÖ§³ÖÄã¸ç¸çÈÃÄãÄÑÊÜ, µ«ÏÖÔÚÈÃÎÒÃÇÀ´Ëµµã¿ªĞÄÊÂ. ÈÃÎÒÃÇÍü¼ÇÊ±ÏÂ²»¿ì, °Ñ¶Ô·½µ±×÷Ç×½üµÄÅóÓÑ. ÈÃÎÒÃÇÒ»±ß³ÔÒ»±ß»ØÒäµ±ÄêÄãĞ¡µÄÊ±ºò,ÄãÊÇÎÒ×î°®µÄ¶ù×Ó. À´, ÎÒ¸øÄã´øÁËÉÏºÃµÄ¾Æ, Ò»±ßºÈÒ»±ßÁÄ.";Vous dînez le soir même avec votre mère. Elle vous parle de votre enfance et de son grand amour pour vous? « Je sais que cela vous peine de me voir soutenir votre frère, mais je vous en prie, parlons d'un temps plus heureux. J'aimerais pour un temps oublier ces temps troubles et passer la soirée seule avec vous, en toute amiti? Nous pouvons manger et nous rappeler des souvenirs, et vous resterez toujours mon fils bien-aim? Tenez, je vous ai apport?cet excellent vin ?boire pendant que nous discuterons. »;Als Ihr mit Eurer Mutter zu Abend esst, fängt sie an, von Eurer Jugend und von ihrer tiefen Liebe zu Euch zu sprechen: 'Ich wei? dass es Euch betrübt, dass ich Euren Bruder unterstütze, aber lasst uns von glücklicheren Zeiten sprechen. Ich würde diese Ärgernisse gern eine Weile vergessen und einfach mit Euch in Frieden dinieren, denn Ihr seid nach wie vor mein geliebter Sohn. Hier, ich habe Euch einen schönen Wein mitgebracht, mit dem wir auf die alten Zeiten anstoßen können.';;Mientras cenas con tu madre, te habla de tu juventud y de su gran amor hacia ti: "S?que te duele que apoye a tu hermano, pero por favor, hablemos de las épocas felices. Me gustaría olvidar por un momento estos abruptos tiempos y pasar el atardecer contigo en intimidad y amistosamente. Podemos cenar y recordar, y volverás a ser mi querido hijo de siempre. Te traigo un buen vino para beber mientras hablamos de los viejos tiempos.";;;;;;;;;x
EVTOPTA_CM_1122;Å¶ºÃ¾Æ,ÎÒÏ²»¶!;Ah, du vin... Fort bien?;Ah, Wein ... gut!;;¡Ah, vino... Que bien!;;;;;;;;;x
EVTOPTB_CM_1122;ÎÒ²»ĞÅÈÎÄã, ×ß°É,Ä¸Ç×.;Je ne vous fais pas confiance, mère. Partez.;Mutter, ich kann Euch nicht vertrauen. Bitte geht.;;No confío en ti, madre. Por favor váyase;;;;;;;;;x
