;#CODE;ENGLISH;;GERMAN;;SPANISH;;;;;;;;;;
character_owe_favor;此人将会欠你一个 人情?。;Ce personnage vous devra une faveur?.;Dieser Charakter wird Euch einen Gefallen? schuldig sein.;;ste personaje te deber?un Favor?;;;;;;;;;x
EVTDESC_ZE_23005;每个统治者都需要时不时亲自外出接见农民们。没别的事，就是为了确保他们知道你还在。当你访问 [helping_vassal.Capital.GetName] 当地居民时，你非常真诚地表达了你对他们的看法。看起来，他们非常生气。你回头确认了一下你的警卫是否还在保护你，却发现他们全都跑去了当地酒馆！在你反应过来之前，那些农民开始扔东西砸你！;Tout dirigeant a besoin d'aller ?la rencontre des paysans de temps en temps. Ne serait-ce que pour leur rappeler son existence. Alors que vous rendez visite aux habitants de [helping_vassal.Capital.GetName], vous dites tr鑣 franchement ce que vous pensez d'eux. Les voil?maintenant extr阭ement vex閟. Vous regardez derri鑢e vous pour v閞ifier que vos gardes sont l?pour vous prot間er et vous apercevez qu'ils ont tous fil??la taverne la plus proche? Soudainement, les paysans se mettent ?vous lancer des choses?;Jeder Herrscher muss sich von Zeit zu Zeit pers鰊lich bei seinen Bauern blicken lassen, und sei es nur, um sie wissen zu lassen, dass es Euch noch gibt. W鋒rend eines Besuchs in [helping_vassal.Capital.GetName] tut Ihr Eure Meinung 黚er die dortigen Einwohner frei kund, was diese Euch offenkundig ver黚eln. Ihr seht Euch schutzsuchend nach Euren Wachen um und m黶st feststellen, dass diese sich allesamt in die 鰎tliche Taverne begeben haben! Und schon bewerfen Euch die Bauern mit Gegenst鋘den!;;Cada gobernante debe salir y conocer a los campesinos en persona de vez en cuando. Aunque solo sea para que sepan que todav韆 existes. Al visitar a los campesinos de [helping_vassal.Capital.GetName], dices muy francamente lo que piensas de ellos. Algo por lo que al parecer se ofendieron bastante. Miras de reojo para asegurarse de que tus guardias est醤 ah?para mantenerte a salvo, ara ver que se han ido a la taberna local! uando te quieres dar cuenta, los campesinos empiezan a tirarte cosas!;;;;;;;;;x
EVTOPTA_ZE_23005;我要跑到 [helping_vassal.GetTitledFirstName] 躲起来！;Je pourrais courir chez [helping_vassal.GetTitledFirstName] et me cacher l?bas?;Ich k鰊nte zu [helping_vassal.GetTitledFirstName] fl點hten und mich dort verstecken!;;odr韆 correr a [helping_vassal.GetTitledFirstName] y esconderme all?;;;;;;;;;x
EVTOPTB_ZE_23005;也许我能从他们手中逃脱？;Peut-阾re que je peux simplement les distancer?;Vielleicht kann ich ihnen einfach davonlaufen?;;緼 lo mejor puedo simplemente dejarles atr醩?;;;;;;;;;x
EVTOPTA_ZE_23005_custom_tooltip_a;跑向附近 [helping_vassal.GetTitledFirstName] 的住处，希望 [helping_vassal.GetSheHe] 能帮忙。;Courez vous mettre en lieu s鹯 dans la proche r閟idence de [helping_vassal.GetTitledFirstName] et esp閞ez qu'[helping_vassal.GetSheHe] vous viendra en aide.;Lauft zum Anwesen von [helping_vassal.GetTitledFirstName] und hofft, dass [helping_vassal.GetSheHe] helfen wird.;;Corres en busca de seguridad, a [helping_vassal.GetTitledFirstName] que vive cerca y esperas que [helping_vassal.GetSheHe] ayude.;;;;;;;;;x
EVTOPTA_ZE_23005_custom_tooltip_b; [Root.GetTitledName] 安全逃脱了;[This.GetTitledName] s抏nfuit en toute s閏urit?;[Root.GetTitledName] bringt sich in Sicherheit;;[Root.GetTitledName] se escap?sin peligro;;;;;;;;;x
EVTDESC_ZE_23006;当你平静地思考人生时，你突然听见外面有可怕的喧嚣。你打开了门，看到了 [From.GetTitledFirstName] 向你跑来，而 [From.GetHerHis] 身后跟着一大群愤怒的农民！如果你能够给 [From.GetHerHim] 提供一个躲避的地方， [From.GetSheHe] 会欠下你一个人情。;Vous vous occupez calmement de vos affaires lorsque vous entendez soudainement un grand boucan provenant de l'ext閞ieur. Vous ouvrez la porte et voyez [From.GetTitledFirstName] courir vers vous avec une foule de paysans en col鑢e ?ses trousses? Si vous lui offrez un endroit o?se cacher, [From.GetSheHe] vous sera v閞itablement redevable.;Ihr k黰mert Euch gerade um Eure eigenen Angelegenheiten, als Ihr drau遝n einen Tumult vernehmt. Ihr 鰂fnet die T黵 und seht [From.GetTitledFirstName] auf der Flucht vor einem Pack w黷ender Bauern. [From.GetSheHeCap] hastet in Richtung Eures Hauses, und wenn Ihr [From.GetTitledFirstName] bei Euch verstecken w黵det, st黱de [From.GetSheHe] wahrlich in Eurer Schuld.;;Estas ocup醤dote de tus cosas, cuando de repente escuchas un tremendo alboroto fuera. bres la puerta para ver a [From.GetTitledFirstName] correr hacia ti con una muchedumbre de campesinos enojados a [From.GetHerHis] talones! Si [From.GetHerHim] ofreces lugar para esconderse, [From.GetSheHe] estar韆 realmente en deuda contigo.;;;;;;;;;x
EVTOPTA_ZE_23006;快！躲在这！;Vite? Par ici?;Schnell! Hierher!;;orre! en aqu?;;;;;;;;;x
EVTOPTB_ZE_23006;我才不要被卷入这种麻烦中！;Je ne m'impliquerai pas dans cette histoire?;Damit m鯿hte ich nichts zu tun haben!;;o me meto en esto!;;;;;;;;;x
EVTDESC_ZE_23007;当你跑近时，你看到 [From.GetTitledFirstName] 站在门口向你挥手！你奔向了 [From.GetHerHim] 并马上进了屋。 [From.GetFirstName] 迅速关上了门。终于安全了。谁能想到那些农民会这么容易被激怒啊！;En vous approchant, vous pouvez voir que [From.GetTitledFirstName] se tient dans l'embrasure de la porte et vous fait signe? Vous foncez vers [From.GetHerselfHimself] et une fois ?l'int閞ieur, [From.GetFirstName] ferme rapidement la porte. Vous 阾es enfin en s閏urit? Qui aurait pu penser que les paysans se vexeraient si facilement?;Als Ihr Euch dem Haus n鋒ert, seht Ihr [From.GetTitledFirstName] in der T黵 stehen und Euch zuwinken. Ihr hastet ins Haus und [From.GetFirstName] verriegelt schnell die T黵 hinter Euch. Endlich in Sicherheit. Wer h鋞te gedacht, dass Bauern so leicht zu erz黵nen sind?;;eg鷑 te acercas puedes ver a [From.GetTitledFirstName] de pie en la puerta haci閚dote se馻les! Te das prisa hacia 閘 y una vez dentro, [From.GetFirstName] r醦idamente se cierra la puerta. Por fin a salvo. 縌ui閚 habr韆 cre韉o que los campesinos se ofender韆n tan f醕ilmente?;;;;;;;;;x
EVTOPTA_ZE_23007;谢谢你！是我欠你的。;Merci? Je vous suis vraiment redevable.;Habt Dank! Ich stehe in Eurer Schuld!;;uchas gracias! Te debo un favor.;;;;;;;;;x
EVTDESC_ZE_23008;Running as fast as you possibly could, you see [From.GetTitledFirstName] standing in a doorway. But instead of offering you a safe place to hide, [From.GetSheHe] quickly closes the door right in front of you! Leaving you to fend for yourself!;Courant aussi vite que possible, vous apercevez [From.GetTitledFirstName] qui se tient dans l'embrasure de la porte. Mais plut魌 que de vous offrir un abri, [From.GetSheHe] s'empresse de vous fermer la porte au nez? Vous voil?seul face ?vos adversaires?;Ihr lauft so schnell Ihr nur k鰊nt und seht [From.GetTitledFirstName] in der T黵 stehen. Doch anstatt Euch Unterschlupf zu gew鋒ren, schl鋑t [From.GetSheHe] Euch hastig die T黵 vor der Nase zu! Ihr seid auf Euch allein gestellt!;;Al correr tan r醦ido como es posible, ves [From.GetTitledFirstName] de pie en la puerta. Pero en lugar de ofrecerte un lugar seguro para esconderse, From.GetSheHe] r醦idamente cierra la puerta justo frente a ti! ej醤dote que te las apa馿s por ti mismo!;;;;;;;;;x
EVTOPTA_ZE_23008;竟然……;Ho? Quelle impudence...?;Welch Unverfrorenheit ...;;Maldito...;;;;;;;;;x
change_composition_mercenary_company_feudal;提供装备给佣兵团;Envoyer l'閝uipement ?la compagnie;Ausr黶tung an Trupp senden;;Enviar equipo a compa耥a;;;;;;;;;x
change_composition_mercenary_company_feudal_desc;通过向佣兵团提供装备，他们会把轻型单位武装成重型单位。这会改变佣兵团的兵力构成。;En envoyant davantage d'閝uipement ?la compagnie de mercenaires, ils pourront 閝uiper les unit閟 les plus l間鑢es afin d'en faire des unit閟 lourdes et ainsi changer la composition de leurs rangs.;Wenn Ihr den S鰈dnertrupp mit mehr Ausr黶tung versorgt, k鰊nen leichtere Einheiten zu schwereren aufgewertet werden, um die Zusammenstellung des Trupps zu ver鋘dern.;;Enviando m醩 equipos a la compa耥a mercenaria, podr醤 equipar m醩 a las unidades ligeras para que sean m醩 pesadas y cambiar su composici髇.;;;;;;;;;x
send_troops_mercenary_company_feudal;提供兵力给佣兵团;Envoyer des troupes ?la compagnie;Truppen an Trupp senden;;Enviar la tropas a compa耥a;;;;;;;;;x
send_troops_mercenary_company_feudal_desc;通过向佣兵团提供更多部队，你可以扩大它的规模。;En finan鏰nt davantage de troupes pour la compagnie de mercenaires, vous pouvez en augmenter la taille.;Wenn Ihr weitere Truppen f黵 den S鰈dnertrupp kauft, k鰊nt Ihr diesen erweitern.;;Pagando m醩 tropas a la compa耥a mercenaria puede aumentar su tama駉.;;;;;;;;;x
EVTDESC_ZE_23101;我可以给 [From.PrimaryTitle.GetName] 送一些高质量的装备以改变它的兵力构成，这会使他们在战斗中表现得更好。;Je peux envoyer de l'閝uipement de meilleure qualit?aux troupes de [From.PrimaryTitle.GetName] afin de changer la composition de ses troupes et am閘iorer leurs performances en combat.;Ich kann Ausr黶tung h鰄erer Qualit鋞 an die Truppen von [From.PrimaryTitle.GetName] senden, um die Truppenzusammenstellung zu 鋘dern und ihre Kampffertigkeiten zu verbessern.;;Puedo enviar equipos de mayor calidad a las tropas de [From.PrimaryTitle.GetName] para cambiar la composici髇 de su tropa y que se comporten mejor en combate.;;;;;;;;;x
EVTOPTA_ZE_23101;提供装备给重步兵。;Envoyer de l'閝uipement pour l'infanterie lourde.;Ausr黶tung f黵 schwere Infanterie senden.;;Enviar equipo de infanter韆 pesada.;;;;;;;;;x
EVTOPTB_ZE_23101;提供装备给枪兵。;Envoyer de l'閝uipement pour les piquiers.;Ausr黶tung f黵 Pikeniere senden.;;Enviar equipo de piqueros.;;;;;;;;;x
EVTOPTC_ZE_23101;提供装备给重骑兵。;Envoyer de l'閝uipement pour la cavalerie lourde.;Ausr黶tung f黵 schwere Kavallerie senden.;;Enviar equipo de caballer韆 pesada.;;;;;;;;;x
EVTOPTD_ZE_23101;我改变主意了。;J抋i chang?d抋vis.;Ich habe es mir anders 黚erlegt.;;Cambi?de opini髇.;;;;;;;;;x
EVTDESC_ZE_23106;我可能给 [From.GetFirstName] 和他的 [From.PrimaryTitle.GetName] 提供兵力来强化他们。;J'ai la possibilit?d'envoyer des troupes ?[From.GetFirstName] et sa compagnie [From.PrimaryTitle.GetName] pour les renforcer.;Ich habe die Gelegenheit, Truppen an [From.GetFirstName] und [From.PrimaryTitle.GetName] zu senden, um sie zu unterst黷zen.;;Tengo la posibilidad de enviar tropas a [From.GetFirstName] y su [From.PrimaryTitle.GetName] a reforzarlos.;;;;;;;;;x
EVTOPTA_ZE_23106;提供更多士兵。;Envoyer plus de soldats.;Mehr Soldaten senden.;;Enviar m醩 soldados.;;;;;;;;;x
EVTOPTB_ZE_23106;提供更多骑兵。;Envoyer plus de cavalerie.;Mehr Kavallerie senden.;;Enviar m醩 caballer韆.;;;;;;;;;x
EVTDESC_ZE_23152;当 [From.GetTitledFirstName] 为你效劳时，他一直在对你说他的雇主， [merc_band_employer.GetTitledFirstName] 。至今为止，你只听到了关于 [merc_band_employer.GetHerHim] 的正面评价，这使你非常好奇。也许应该联系一下，建立一个协定或者会面？;Tout en 閠ant ?votre service, [From.GetTitledFirstName] vous a parl?de son employeur, [merc_band_employer.GetTitledFirstName]. Jusqu'ici, vous n'avez entendu que de bonnes choses ?son sujet et votre curiosit?en a 閠?piqu閑. Peut-阾re que vous devriez essayer d'閠ablir un contact et proposer un pacte ou une rencontre?;W鋒rend [From.GetTitledFirstName] in Euren Diensten stand, erz鋒lte er Euch von seinem Auftraggeber, [merc_band_employer.GetTitledFirstName]. 躡er [merc_band_employer.GetTitledFirstName] kam Euch bisher nur Gutes zu Ohren, was Euer Interesse weckte. Vielleicht w鋜e es angebracht, Kontakt aufzunehmen und ein 躡ereinkommen oder ein Treffen anzubieten?;;Mientras estaba a tu servicio, [From.GetTitledFirstName] ha estado habl醤dote sobre su patr髇, [merc_band_employer.GetTitledFirstName]. Hasta ahora s髄o has o韉o cosas buenas sobre [merc_band_employer.GetHerHim] y te ha intrigado. 縌uiz醩 habr韆 que tratar de establecer contacto y ofrecer un pacto o una reuni髇?;;;;;;;;;x
EVTOPTA_ZE_23152;我将马上写一封信！;Je vais imm閐iatement lui 閏rire une lettre.;Ich werde sofort einen Brief aufsetzen!;;scribir?una carta inmediatamente!;;;;;;;;;x
EVTOPTB_ZE_23152;我对这个人没兴趣。;Cette personne n'a aucun int閞阾 pour moi.;Diese Person ist f黵 mich nicht von Interesse.;;Esta persona no tiene ning鷑 inter閟 para m?;;;;;;;;;x
EVTDESC_ZE_23154;致 [GetFromRootCompliment] [Root.GetFirstName]，\n\n您的仆人 [FromFrom.GetTitledFirstName] 对您的美德赞不绝口。我想请您参加一场特邀宴会，如果您能来和我见一面，我将会非常高兴。\n\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nVotre serviteur [FromFrom.GetTitledFirstName] a fait grand 閠at de votre personnalit?et de vos vertus. Ce serait une joie de vous rencontrer en personne et ?ces fins, je vous invite ?prendre part ?un grand banquet qui sera tenu en votre honneur.\n\n[From.GetTitledName];[Root.GetFirstName],\n\nEuer Diener [FromFrom.GetTitledFirstName] wusste viel 黚er Euch und Eure Taten zu berichten. Ich w黵de Euch liebend gerne von Angesicht zu Angesicht treffen und lade Euch daher ein, an einem gro遝n Festmahl zu Ehren Eures Namens teilzunehmen.\n\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nTu servidor, [FromFrom.GetTitledFirstName] me ha hablado mucho de ti y tus virtudes. Me encantar韆 conocerte cara a cara y por lo tanto, te invito a una gran fiesta que se celebrar?en tu nombre.\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_23154;我当然会参加！;J'accepte, bien 関idemment?;Nat黵lich werde ich kommen!;;or supuesto que asistir?;;;;;;;;;x
EVTOPTB_ZE_23154;我对这种安排没兴趣。;Un tel arrangement ne m'int閞esse absolument pas.;An solch einem Treffen habe ich kein Interesse.;;No tengo ning鷑 inter閟 en un acuerdo de ese tipo.;;;;;;;;;x
EVTDESC_ZE_23155;致 [GetFromRootCompliment] [Root.GetFirstName]，\n\n很高兴收到您的来信！我非常愿意参加您的宴会。容我稍作准备，很快就出发。\n\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'ai bien re鐄 votre lettre et l'ai lue avec une grande joie. J'aimerais beaucoup participer ?ce banquet et vais organiser les pr閜aratifs pour partir dans les plus brefs d閘ais \n\n[From.GetTitledName];[Root.GetFirstName],\n\nich habe Euren Brief erhalten und mit gro遝r Freude gelesen. Ich nehme gerne an Eurem Festmahl teil und werde alle Vorkehrungen f黵 meine baldige Abreise treffen.\n\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nRecib?tu carta y la le?con mucha alegr韆. Me encantar韆 asistir a tu fiesta y pronto har?los preparativos para partir pronto.\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_23155;棒极了！;Splendide?;Bestens!;;spl閚dido!;;;;;;;;;x
EVTDESC_ZE_23156;致 [GetFromRootCompliment] [Root.GetFirstName]，\n\n很感谢您的来信，我收到了您的心意。非常遗憾，我恐怕这次不能来参加您的宴会。\n\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'appr閏ie votre lettre et l'effort qui lui est associ? Malheureusement, je suis dans l'incapacit?de me joindre ?vous.\n\n[From.GetTitledName];[Root.GetFirstName],\n\nich wei?Euren Brief und die M黨e, die Ihr darin investiert habt, zu sch鋞zen. Leider sehe ich mich au遝rstande, diese Einladung wahrzunehmen.\n\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nAgradezco tu carta y el esfuerzo puesto en ella. Por desgracia, me temo que no puedo asistir en este momento.\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_23156;真失望。;Quelle d閏eption.;Wie entt鋟schend.;;Qu?decepci髇.;;;;;;;;;x
EVTDESC_ZE_23157;当 [FromFrom.GetTitledFirstName] 到达时，你热烈地欢迎了 [FromFrom.GetHerHim]，并表达了你能邀请到 [FromFrom.GetHerHim] 的喜悦之情。你们两人一同进餐，聊起了各种各样的话题。当 [FromFrom.GetFirstName] 离开时，你们不仅达成了一个互不侵犯的联盟，还成为了朋友！;Vous avez r閟erv?un accueil somptueux ?[FromFrom.GetTitledFirstName] et avez exprim?votre joie quant ?sa pr閟ence. Vous avez ensuite mang?ensemble et discut?longuement, si bien qu'au moment de partir, [FromFrom.GetFirstName] et vous aviez non seulement convenu de signer un pacte de non-agression, mais 間alement d関elopp?de solides liens d'amiti?;Ihr bereitet [FromFrom.GetTitledFirstName] einen prunkvollen Empfang und bringt Eure Freude 黚er Euren Gast geb黨rend zum Ausdruck. Bei einem ausgiebigen Mahl sprecht Ihr 黚er allerlei Angelegenheiten. Als [FromFrom.GetFirstName] wieder abreist, habt Ihr Euch nicht nur auf einen Nichtangriffspakt geeinigt, sondern k鰊nt Euch fortan sogar als gute Freunde bezeichnen!;;Cuando lleg?[FromFrom.GetTitledFirstName] [FromFrom.GetHerHim] la bienvenida con gran esplendor y expres?su felicidad de tener [FromFrom.GetHerHim] all? Comisteis y hablasteis prolongadamente sobre todo tipo de cosas. Cuando lleg?el momento de que [FromFrom.GetFirstName] partiese, no s髄o hab韆 decidido en un pacto de no agresi髇, ino tambi閚 os separasteis como amigos!;;;;;;;;;x
EVTOPTA_ZE_23157;将来再聚一次吧！;Nous devons refaire 鏰 un de ces jours?;Diesem Festmahl sollten weitere folgen!;;epitamos esto alg鷑 d韆!;;;;;;;;;x
EVTTITLE_ZE_23157;一起参加宴会;Avez particip?au banquet ensemble;Gemeinsam am Festmahl teilgenommen;;Asistieron a la fiesta juntos;;;;;;;;;x
EVTDESC_ZE_23158;当你到达时， [From.GetTitledFirstName] 用最热烈的方式迎接了你。 [From.GetSheHe] 把你领进了室内，你们一同进餐、谈笑风生，度过了相当美好的时光。你们二人不仅建立了互不侵犯联盟，还成为了朋友！;Lors de votre arriv閑, [From.GetTitledFirstName] 閠ait l?pour vous accueillir de la plus grande des fa鏾ns. [From.GetSheHe] vous a accompagn??l'int閞ieur o?vous avez mang?et discut?longuement et avez pass?un excellent moment. Vous avez ainsi d閏id?de former un pacte de non-agression sur la base de cette nouvelle amiti闋!;Bei Eurer Ankunft bereitete Euch [From.GetTitledFirstName] einen prunkvollen Empfang. [From.GetSheHeCap] lud Euch dazu ein, zu speisen und 黚er allerlei Angelegenheiten zu sprechen. Der Austausch war f黵 Euch beide ein Genuss. Ihr konntet Euch auf einen Nichtangriffspakt einigen und habt den Grundstein f黵 eine tiefe Freundschaft gelegt!;;Cuando lleg? [From.GetTitledFirstName] estaba all?para darte la bienvenida a lo grande. [From.GetSheHe] te mostr?el interior, donde comisteis, hablasteis largamente y os divertisteis juntos. os dos decidisteis un pacto de no agresi髇 y tambi閚 pudisteis separaros como amigos!;;;;;;;;;x
EVTOPTA_ZE_23158;能得到您的邀请我真的很荣幸！;Accepter votre invitation a fait mon bonheur?;Ich bin froh, dass Ich Eurer Einladung gefolgt bin!;;e alegro de haber aceptado su invitaci髇!;;;;;;;;;x
;#INFAMY_LOWER_TRIGGER;$CHAR|Y$ Infamy lower than $VALUE|Y$.;;$CHAR|Y$ Infamie unter $VALUE|Y$.;;$CHAR|Y$ Infamia más abaja de $VALUE|Y$.;;;;;;;;;x;
;#INFAMY_HIGHER_TRIGGER;$CHAR|Y$ Infamy higher than $VALUE|Y$.;;$CHAR|Y$ Infamie über $VALUE|Y$.;;$CHAR|Y$ Infamia más alta de $VALUE|Y$.;;;;;;;;;x;
;#CHANGE_INFAMY_EFFECT;$CHAR|Y$ Infamy $VALUE|Y$ added.;;$CHAR|Y$ Infamie $VALUE|Y$ hinzugefügt.;;$CHAR|Y$ a?ade $VALUE|Y$ Infamia.;;;;;;;;;x;
RESTORE_SUCCESSION_EFFECT;$TITLE|Y$ 恢复了 $LAW|Y$ 法律。;$TITLE|Y$ restaure la loi de $LAW|Y$.;$TITLE|Y$ setzt $LAW|Y$-Gesetz wieder in Kraft.;;$TITLE|Y$ restaura la ley de $LAW|Y$.;;;;;;;;;x
succ_council_elective;枢密院选举权;Conseil 閘ectif;Ratswahl;;Elecci髇 del Consejo;;;;;;;;;x
COUNCIL_SUCCESSION_VOTE_ON;允许枢密院在继承上投票;Active le vote du Conseil sur la succession;Aktiviert Ratsabstimmung 黚er Erbfolge;;Permite el consejo que vota sobre la sucesi髇;;;;;;;;;x
COUNCIL_SUCCESSION_VOTE_OFF;不允许枢密院在继承上投票;D閟active le vote du Conseil sur la succession;Deaktiviert Ratsabstimmung 黚er Erbfolge;;Desactiva que el consejo vote sobre la sucesi髇;;;;;;;;;x
ATTRITION_SHATTERED_HOSTILE_TERRITORY;在敌军领土上溃退：+$VALUE$%?;Retraite an閍ntie en territoire ennemi? +$VALUE$%?;Chaotischer R點kzug in feindlichem Gebiet: +$VALUE$%?;;etirada destrozada a territorio enemigo: +$VALUE$%?;;;;;;;;;x
ATTRITION_SHATTERED_NEUTRAL_TERRITORY;在中立领土上溃退：+$VALUE$%?;Retraite an閍ntie en territoire neutre? +$VALUE$%?;Chaotischer R點kzug in neutralem Gebiet: +$VALUE$%?;;Retirada destrozada a territorio neutral: +$VALUE$%?;;;;;;;;;x
ATTRITION_SHATTERED_FRIENDLY_TERRITORY;在友方领土上溃退：+$VALUE$%?;Retraite an閍ntie en territoire ami? +$VALUE$%?;Chaotischer R點kzug in sicherem Gebiet: +$VALUE$%?;;Retirada destrozada a territorio amistoso: +$VALUE$%?;;;;;;;;;x
SHATTERED_IGNORES_LEADER_ATTRITION;溃退中的军队不再受领导者损耗减少技能影响;Les arm閑s en d閞oute ignorent les r閐uctions d'attrition des commandants;Zerschlagene Armeen ignorieren Verlustsenkung des Anf黨rers.;;Ej閞citos destrozados ignora reducci髇 de desgaste de los l韉eres;;;;;;;;;x
BATTLE_WARSCORE_LIMIT_ATTACKERS;进攻方的战争分数被限制在了 $VALUE$;Le score de guerre des batailles est limit??$VALUE$ pour les attaquants;Kriegspunkte von Schlachten werden f黵 Angreifer auf $VALUE$ begrenzt.;;Marcador de guerra de las batallas est?limitado a $VALUE$ para los atacantes;;;;;;;;;x
BATTLE_WARSCORE_LIMIT_DEFENDERS;防守方的战争分数被限制在了 $VALUE$;Le score de guerre des batailles est limit??$VALUE$ pour les d閒enseurs;Kriegspunkte von Schlachten werden f黵 Verteidiger auf $VALUE$ begrenzt.;;Marcador de guerra de las batallas est?limitada a $VALUE$ para defensores.;;;;;;;;;x
INTERACTION_CANNOT_BREAK_FAVOR_BETROTHAL;婚约不是用人情建立的;La faveur n'a pas 閠?utilis閑 pour arranger les fian鏰illes;F黵 das Arrangieren des Verl鯾nisses wurde kein Gefallen verwendet.;;No se utiliz?el Favor para organizar los esponsales;;;;;;;;;x
haughty_desc;这个孩子骄傲、虚荣、自大。可能发展成：骄傲?，专断? 或 残暴?。;L'enfant est de nature fi鑢e et vaniteuse. Ceci peut conduire aux traits Orgueil?, Partialit椐! ou Cruaut椐!.;Das Kind ist voller Stolz und Eitelkeit und 黚erzeugt von der eigenen 躡erlegenheit. M鰃liche Entwicklungen: Stolz?, 躡erheblich? oder Grausam?.;;Este ni駉 es orgulloso/a y vanidoso/a, convencido de su propia superioridad. Puede desarrollarse como: Orgulloso?, Arrogante? o Cruel?.;;;;;;;;;x
affectionate_desc;这个孩子和善、经常流露喜好。可能发展成：和善?，安于现状? 或 值得信任?。;L'enfant est de nature gentille et affectueuse. Ceci peut conduire aux traits Gentillesse?, Contentement? ou Confiance?.;Das Kind ist freundlich und zeigt schnell seine Liebe und Zuneigung. M鰃liche Entwicklungen: G黷ig?, Zufrieden? oder Treuherzig?.;;Este ni駉 es bueno/a y es r醦ido en mostrar amor y afecto. Puede desarrollarse como:  Amable?, Contento? o Confiado?.;;;;;;;;;x
timid_desc;这个孩子害羞、安静、通常避免引起冲突。可能发展成：谦逊?，害羞? 或 怯懦?。;L'enfant est de nature timide et discr鑤e. Ceci peut conduire aux traits Humilit椐!, Timidit椐! ou L鈉het椐!.;Das Kind ist sch點htern und still und geht der offenen Konfrontation aus dem Weg. M鰃liche Entwicklungen: Bescheiden?, Sch點htern? oder Feige?.;;Este ni駉 es t韒ido y reservado y evita generalmente los conflictos. Puede desarrollarse como: Humilde?, T韒ido? o Cobarde?.;;;;;;;;;x
rowdy_desc;这个孩子吵闹、活泼、相比安静的工作经常更喜欢粗野的体力活动。可能发展成：强壮?，诚实? 或 迟钝?。;L'enfant est de nature bruyante et chahuteuse. Ceci peut conduire aux traits Robuste?, Honn阾et椐! ou Simplet?.;Das Kind ist laut und quirlig und geht am liebsten k鰎perlich fordernden Aktivit鋞en nach. M鰃liche Entwicklungen: Bullig?, Ehrlich? oder Stumpfsinnig?.;;Este ni駉 es fuerte y vivaz y generalmente prefiere actividad f韘ica dura sobre actividades m醩 tranquilas. Puede desarrollarse como:  Fornido?, Honesto? o Tonto?.;;;;;;;;;x
willful_desc;这个孩子顽固、执拗，从不轻易遵从他人或作出让步。可能发展成：野心勃勃?，勇敢? 或 顽固?。;L'enfant est de nature t阾ue et d閠ermin閑. Ceci peut conduire aux traits Forte ambition?, Bravoure? ou Ent阾ement?.;Das Kind ist stur und eigensinnig. Es gehorcht nicht gern und gibt nicht gern nach. M鰃liche Entwicklungen: Ehrgeizig?, Tapfer? oder Stur?.;;Este ni駉 es testarudo/a y voluntarioso/a y no obedece ni cede f醕ilmente. Puede desarrollarse como: Ambicioso?, Valiente? o Terco?;;;;;;;;;x
brooding_desc;这个孩子是一个安静的思考者。别的孩子白天在外玩时，这个孩子经常坐在屋内沉思。可能发展成：正直?，易怒? 或 嫉妒?。;L'enfant est de nature calme, pr閒閞ant cogiter dans son coin plut魌 que jouer avec les autres dehors. Ceci peut conduire aux traits Sens de la justice?, Col鑢e? ou Envie?.;Das Kind hat einen Hang zur stillen Betrachtung und 黚erl鋝st das Herumtoben im Freien gerne den anderen. M鰃liche Entwicklungen: Gerecht?, Zornig? oder Neidisch?.;;Este ni駉 es un pensador tranquilo, a menudo se sienta en profundas reflexiones mientras otros juegan al sol. Puede desarrollarse como: Justo?, Airado? o Envidioso?.;;;;;;;;;x
indolent_desc;这个孩子反感任何形式的努力，无论是精神上的还是身体上的。可能发展成慷慨?，懒惰? 或 暴食?。;L'enfant se refuse ?tout effort, mental ou physique. Ceci peut conduire aux traits Charit椐!, Paresse? ou Gourmandise?.;Das Kind hat eine Abneigung gegen Anstrengung jeder Form, ganz gleich ob k鰎perlicher oder geistiger Natur. M鰃liche Entwicklungen: Wohlt鋞ig?, Faul? oder Gefr溥ig?.;;Este ni駉 es muy reacio a cualquier tipo de esfuerzo, ya sea mental o f韘ico. Puede desarrollarse como: Caritativo?, Perezoso? o Glot髇?.;;;;;;;;;x
