;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
EVTOPTA_RoI_1066;我接受！你会为此后悔的！;J'accepte? Vous allez le regretter.;Ich nehme an. Das wird er bereuen.;;cepto! Te arrepentir醩.;;;;;;;;;x
EVTOPTB_RoI_1066;不，这太疯狂了。离我远点。;Non, c'est de la folie. Allez-vous-en.;Nein, dass ist Irrsinn. Verschwindet!;;No, es una locura. Vete.;;;;;;;;;x
EVTDESC_RoI_1067;你的对手拒绝接受你的决斗要求。;L'adversaire que vous aviez choisi refuse de vous affronter.;Euer gewollter Gegner lehnt das Duell ab.;;Tu pretendido rival rechaza batirse contigo.;;;;;;;;;x
EVTOPTA_RoI_1067;懦夫！等着看我是怎样吃掉你的脑子的吧！;Mais je mangerai ton cerveau plus tard, l鈉he?;Ich werde dein Hirn sp鋞er essen, Feigling!;;espu閟 me comer?tu cerebro, cobarde!;;;;;;;;;x
EVTOPTB_RoI_1067;但是那些声音……;Pourtant, les voix...;Aber die Stimmen?;Pero las voces...;;;;;;;;;x
EVTOPTC_RoI_1067;啊哈，我懂了，原来你是个懦夫。;Ah je vois, tu as peur?;Ah, ich verstehe: Ihr seid ein Feigling.;;Ah, ya veo, eres un cobarde.;;;;;;;;;x
EVTOPTD_RoI_1067;见鬼！;Mal閐iction?;Veflucht!;;aldici髇!;;;;;;;;;x
EVTOPTE_RoI_1067;你这么做是故意为了气我！;Tu fais cela pour me contrarier?;Ihr wollt mich wohl 鋜gern?;;o haces para fastidiarme!;;;;;;;;;x
EVTDESC_RoI_1068;宴会紧张的气氛达到了高潮. [From.GetTitlesName] 要求与 [FromFrom.GetTitledName] 进行决斗, 但是后者退缩了, 其威望也因此受到了损失.;La tension monte pendant le festin. [From.GetTitlesName] a d閒i?[FromFrom.GetTitledName] en duel, mais [FromFrom.GetTitledName] a choisi de refuser, m阭e si son prestige s'en trouve affect?;Die Stimmung ist angespannt. [From.GetTitlesName] hat [FromFrom.GetTitledName] zum Duell gefordert, doch letzterer lehnte ab, auf Kosten seines Prestiges. ;;La tensi髇 se dispara en el banquete. [From.GetTitlesName] ha desafiado a [FromFrom.GetTitledName] a un duelo, pero este 鷏timo ha decidido echarse atr醩, da馻ndo su prestigio.;;;;;;;;;x
EVTOPTA_RoI_1068;避免流血总是好的。;Heureusement, l'effusion de sang a 閠?関it閑.;Wie gut, dass Blutvergie遝n vermieden wurde.;;Est?bien que se haya evitado una sangr韆.;;;;;;;;;x
EVTOPTB_RoI_1068;可恶，我还等着看决斗助兴呢。;Dommage, un peu d'action n'aurait pas fait de mal.;Zu schade, das h鋞te das Fest belebt.;;Una pena, hubiera animado el banquete.;;;;;;;;;x
EVTDESC_RoI_1069;宴会上的客人全部围成一圈来观看你和[FromFrom.GetFullName]的决斗。作为接受决斗挑战的一方，你有权选择决斗时双方使用的武器。;Les convives se rassemblent pour assister au duel entre vous et [FromFrom.GetFullName]. Comme c'est vous que l'on d閒ie, vous avez le choix des armes pour ce duel.;Die G鋝te des Festes versammeln sich, um das Duell zwischen Euch und [FromFrom.GetFullName] zu sehen. Als Geforderter k鰊nt Ihr die Waffen des Duells w鋒len.;;Los invitados al banquete se agolpan para ver tu duelo frente a [FromFrom.GetFullName]. Como desafiado, tienes derecho a elegir el arma a usar en el duelo.;;;;;;;;;x
EVTOPTA_RoI_1069;剑;Des 閜閑s;Schwerter;;Espadas;;;;;;;;;x
EVTOPTB_RoI_1069;匕首;Des dagues;Dolche;;Dagas;;;;;;;;;x
EVTOPTC_RoI_1069;长矛;Des lances;Speere;;Lanzas;;;;;;;;;x
EVTDESC_RoI_1070;[From.GetFullName]接受了你的挑战，决斗即将开始。作为接受决斗挑战的一方，你的对手有权选择决斗时双方使用的武器。而他选择了剑。现在其他客人全部围成了一圈，等着观看决斗。;[From.GetFullName] a accept?votre d閒i. Il y aura duel. Comme c'est votre adversaire qui est d閒i? il a le choix des armes. Ce sera un duel ?l'閜閑? Les autres convives se rassemblent pour assister au combat.;[From.GetFullName] hat Eure Herausforderung akzeptiert und das Duell wird stattfinden. Als Geforderter kann Euer Gegner die Waffen w鋒len und hat sich f黵 Schwerter entschieden. Die anderen G鋝te versammeln sich, um Euch k鋗pfen zu sehen.;;[From.GetFullName] ha aceptado tu desaf韔 y habr?duelo. Como desafiado, tu oponente puede elegir armas y ha elegido espadas. Los otros invitados se arremolinan para verte pelear.;;;;;;;;;x
EVTOPTA_RoI_1070;很好，去把我的剑取来。;Allez me chercher une 閜閑 dans ce cas.;Bringt mir also mein Schwert!;;Acercadme mi espada, pues.;;;;;;;;;x
EVTDESC_RoI_1071;[From.GetFullName]接受了你的挑战，决斗即将开始。作为接受决斗挑战的一方，你的对手有权选择决斗时双方使用的武器。而他选择了匕首。现在其他客人全部围成了一圈，等着观看决斗。;[From.GetFullName] a accept?votre d閒i. Il y aura duel. Comme c'est votre adversaire qui est d閒i? il a le choix des armes. Ce sera un duel ?la dague? Les autres convives se rassemblent pour assister au combat.;[From.GetFullName] hat Eure Herausforderung akzeptiert und das Duell wird stattfinden. Als Geforderter kann Euer Gegner die Waffen w鋒len und hat sich f黵 Dolche entschieden. Die anderen G鋝te versammeln sich, um Euch k鋗pfen zu sehen.;;[From.GetFullName] ha aceptado tu desaf韔 y habr?duelo. Como desafiado, tu oponente puede elegir armas y ha elegido dagas. Los otros invitados se arremolinan para verte pelear.;;;;;;;;;x
EVTOPTA_RoI_1071;很好，去把我的匕首取来。;Allez me chercher une dague dans ce cas.;Bringt mir also meinen Dolch!;;Acercadme mi daga, pues.;;;;;;;;;x
EVTDESC_RoI_1072;[From.GetFullName]接受了你的挑战，决斗即将开始。作为接受决斗挑战的一方，你的对手有权选择决斗时双方使用的武器。而他选择了长矛。现在其他客人全部围成了一圈，等着观看决斗。;[From.GetFullName] a accept?votre d閒i. Il y aura duel. Comme c'est votre adversaire qui est d閒i? il a le choix des armes. Ce sera un duel ?la lance? Les autres convives se rassemblent pour assister au combat.;[From.GetFullName] hat Eure Herausforderung akzeptiert und das Duell wird stattfinden. Als Geforderter kann Euer Gegner die Waffen w鋒len und hat sich f黵 Speere entschieden. Die anderen G鋝te versammeln sich, um Euch k鋗pfen zu sehen.;;[From.GetFullName] ha aceptado tu desaf韔 y habr?duelo. Como desafiado, tu oponente puede elegir armas y ha elegido lanzas. Los otros invitados se arremolinan para verte pelear.;;;;;;;;;x
EVTOPTA_RoI_1072;很好，去把我的长矛取来。;Allez me chercher une lance dans ce cas.;Bringt mir also meinen Speer!;;Acercadme mi lanza, pues.;;;;;;;;;x
EVTDESC_RoI_1073;决斗马上要开始了。但是最后还有一个问题：你是准备光明正大地战斗，亦或是会使出一些阴招？后者肯定会增加你的胜算，但是别忘了，有很多人在围观，你的一举一动都尽收他们眼底。;Le duel est sur le point de commencer. Mais avant, une chose reste ?d閏ider? combattrez-vous de mani鑢e honorable ou en usant de quelque vilain tour? Le second choix augmentera vos chances de l'emporter, mais devant une assistance aussi nombreuse, tout le monde verra ce que vous faites.;Das Duell beginnt gleich, doch zuerst m黶st Ihr noch etwas entscheiden: Wollt Ihr ehrenhaft oder schmutzig k鋗pfen? Letzteres wird nat黵lich eure Chancen verbessern, doch eine gro遝 Menge schaut zu und wird alles beobachten.;;El duelo va a comenzar. Pero antes, hay una cosa que debes decidir: 縧ucharas honorablemente o de forma sucia? La 鷏tima opci髇 obviamente aumentar?tus probabilidades, pero hay una muchedumbre mirando y ver醤 todo lo que ocurra.;;;;;;;;;x
EVTOPTA_RoI_1073;荣誉就是我的力量。;Mon honneur sera ma force.;Meine Ehre ist meine St鋜ke.;;Mi honor es mi fuerza.;;;;;;;;;x
EVTOPTB_RoI_1073;傻瓜才光明正大地战斗。;Seuls les imb閏iles combattent noblement.;Nur Narren k鋗pfen fair.;;S髄o los idiotas luchan limpiamente.;;;;;;;;;x
EVTDESC_RoI_1075;决斗开始了。你们开始围着场地中央慢慢转圈。你们两人都在仔细观察对手的行动，等待破绽。突然武器出鞘，一方发起了攻击，另外一方慌忙接招。空气中夹杂着各种咒骂、恐惧与如释重负的叹息、决斗者挥舞武器和钢铁相交的声音……;Le duel commence. Vous commencer ?vous tourner autour, observant votre adversaire avec la plus grande attention, tentant quelques feintes pour juger l'habilet?de votre adversaire. Soudain, l'acier s'anime et c'est un encha頽ement d'attaques et de contre-attaques. L'audience retient son souffle, entre terreur et fascination, tandis que les insultes et les grognements des deux duellistes ponctuent l'affrontement et que les lames s'entrechoquent.;Das Duell beginnt. Ihr und Euer Gegner umkreist euch gegenseitig, beobachtet und t鋟scht an, um eure F鋒igkeiten abzusch鋞zen. Dann pl鰐zlich blitzt Stahl und ein wilder Wirbel aus Angriffen und Gegenangriffen. Rufe des Schreckens und der Freude sind aus dem Publikum zu h鰎en, gemischt mit Fl點hen und dem Grunzen der Duellanten... und dem Klang klirrenden Stahls.;;El duelo comienza. Comenz醝s a dar vueltas alrededor, observ醤doos fijamente y amagando para probar y medir la pericia del oponente. De repente, el acero destella y hay una r醘aga de ataques y contraataques. Gritos ahogados de terror y deleite manan del p鷅lico, mezcl醤dose con los gru駃dos y maldiciones de los duelistas y el entrechocar de aceros...;;;;;;;;;x
EVTOPTA_RoI_1075;聚精会神……;Concentration...;Konzentration?;Concentraci髇...;;;;;;;;;x
;#EVTDESC_RoI_1951;Tempers flare at the feast! [FromFrom.GetFullName] has challenged [From.GetFullName] to a duel and they are already armed and beginning the fight.\n\nBoth combatants begin to circle around each other, each observing the other closely and feinting to try and gauge the skill of the opponent. Then suddenly, steel flashes and there is a flurry of attacks and counterattacks. Gasps of terror and of delight are heard from the audience, mixing with the curses and grunts from the duelists and the sound of clashing steel...;;Die Stimmung ist angespannt! [FromFrom.GetFullName] hat [From.GetFullName] zum Duell gefordert und die beiden sind bereits bewaffnet und beginnen den Kampf.\n\nDie Gegner umkreisen einander, t?uschen an und sch?tzen ihre F?higkeiten ein. Dann pl?tzlich blitzt Stahl und ein wilder Wirbel aus Angriffen und Gegenangriffen. Rufe des Schreckens und der Freude sind aus dem Publikum zu h?ren, gemischt mit Flüchen und dem Grunzen der Duellanten... und dem Klang klirrenden Stahls.;;?Los temperamentos estallan en el banquete! [FromFrom.GetFullName] ha desafiado a [From.GetFullName] a un duelo y ya están armados y comenzando la lucha.\n\nComienzan a dar círculos observándose fijamente y amagando para probar y medir la pericia del oponente. De repente, el acero destella y hay una ráfaga de ataques y contraataques. Gritos ahogados de terror y deleite manan del público, mezclándose con los gru?idos y maldiciones de los duelistas y el entrechocar de aceros...;;;;;;;;;x;
EVTOPTA_RoI_1951;希望没人会死掉;Esp閞ons que personne ne soit tu?;Hoffentlich wird niemand get鰐et!;;Esperemos que no muera nadie.;;;;;;;;;x
EVTOPTB_RoI_1951;希望今晚有人会流血！;Pourvu qu'il y ait du sang?;Hoffentlich sehen wir Blut!;;spero que veamos algo de sangre!;;;;;;;;;x
;#EVTDESC_RoI_1080;The duel is over. [From.GetFullName] lost but he suffered only minor wounds.;;Das Duell ist vorbei. [From.GetFullName] hat verloren, erlitt aber nur leichte Wunden.;;El duelo ha terminado. [From.GetFullName] perdió pero sólo ha sufrido heridas menores.;;;;;;;;;x;
EVTOPTA_RoI_1080;皆大欢喜。;Tout est bien qui finit bien.;Alles ist gut!;;Todo est?bien.;;;;;;;;;x
EVTOPTB_RoI_1080;他认输得太快了！;Il a abandonn?trop vite?;Er gab zu schnell auf!;;e rindi?muy f醕ilmente!;;;;;;;;;x
;#EVTDESC_RoI_1081;The duel is over. [From.GetFullName] lost and lies wounded on the ground.;;Das Duell ist vorbei. [From.GetFullName] hat verloren und liegt verwundet am Boden.;;El duelo ha terminado. [From.GetFullName] perdió y yace herido en el suelo.;;;;;;;;;x;
EVTOPTA_RoI_1081;他打得很好。;Il s'est bien battu.;Er hat gut gek鋗pft.;;Luch?bien.;;;;;;;;;x
;#EVTDESC_RoI_1082;The duel is over. [From.GetFullName] lost and was horribly maimed.;;Das Duell ist vorbei. [From.GetFullName] hat verloren und ist schrecklich verstümmelt.;;El duelo ha terminado. [From.GetFullName] perdió y está terriblemente mutilado.;;;;;;;;;x;
;#EVTDESC_RoI_1083;The duel is over. [From.GetFullName] was killed!;;Das Duell ist vorbei. [From.GetFullName] wurde get?tet!;;El duelo ha terminado. ?[From.GetFullName] ha muerto!;;;;;;;;;x;
EVTDESC_RoI_1100;[From.GetTitled.FirstName]往右虚闪，然后往左移动，顺带用他的剑向斜劈下去。你开始流血，然后朗朗跄跄地倒在背后的墙上，接着瘫坐在地上。你输了这场决斗。;[From.GetTitled.FirstName] feinte ?droite puis se d閜orte sur la gauche et vous inflige un coup en diagonale de son 閜閑 qui vous projette, titubant[Root.GetNoneE], contre le mur. Vous tombez au sol en saignant. Vous avez perdu le duel.;[From.GetTitled.FirstName] t鋟scht rechts an, schl鋑t aber pl鰐zlich links zu und erwischt Euch mit seinem Schwert, dass er diagonal nach oben gerichtet schwingt. Ihr taumelt r點kw鋜ts und fallt blutend zu Boden. Ihr habt das Duell verloren. ;;[From.GetTitled.FirstName] amaga a la derecha, va a la izquierda y te pilla con un tajo diagonal hacia arriba, envi醤dote tambaleante contra la pared. Sangrando, caes al suelo. Has perdido el duelo.;;;;;;;;;x
EVTOPTA_RoI_1100;幸运的是我只受了轻伤。;Heureusement, ce n'est qu'une blessure l間鑢e.;Zum Gl點k wurde ich nur leicht verwundet.;;Por suerte, solo es un rasgu駉.;;;;;;;;;x
EVTOPTB_RoI_1100;我受伤了！;Je suis bless閇Root.GetNoneE]?;Ich wurde verwundet!;;e ha herido!;;;;;;;;;x
EVTOPTC_RoI_1100;我残废了！;Je suis mutil閇Root.GetNoneE]?;Ich wurde verst黰melt!;;e ha mutilado!;;;;;;;;;x
EVTOPTD_RoI_1100;我觉得我活不过这次了……;Je sens que je suis mortellement bless閇Root.GetNoneE]...;Ich merke, dass ich t鰀lich verwundet wurde?;Siento que puede ser una herida mortal...;;;;;;;;;x
EVTDESC_RoI_1101;你的匕首向[From.GetTitled.FirstName]划去，但是这招落空了。他抓住机会，一只手揪住你的领子，另一只手握住他的匕首捅向你。匕首正中目标，你瘫坐在地上开始流血。你输了这场决斗。;Vous attaquez [From.GetTitled.FirstName] mais ratez votre coup, ce qui laisse une ouverture ?votre adversaire. Il saisit l'occasion? il vous saisit par le col et vous attire vers lui tout en cherchant ?vous toucher avec sa dague. La dague atteint son but et vous tombez au sol, ensanglant? Vous avez perdu le duel.;Ihr schlagt nach [From.GetTitled.FirstName], verfehlt aber und lasst Eure Deckung offen. Er nutzt dies aus, packt Euch am Kragen und sticht mit seinem Dolch aufw鋜ts. Die Klinge trifft ihr Ziel und Ihr fallt blutend zu Boden. Das Duell habt Ihr verloren.;;Lanzas un tajo a [From.GetTitled.FirstName], pero fallas abriendo tu guardia. Saca partido, agarr醤dote del cuello y tirando de ti hacia 閘 mientras clava su daga hacia arriba. La daga alcanza su objetivo y caes al suelo, sangrando. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1102;你的长矛向[From.GetTitled.FirstName]挑去，但是他躲开了。之后他从旁边踢了你一脚。趁着你重心不稳，他箭步上前，将长矛直直地刺向你的胸口。这一击正中目标，你瘫坐在地上开始流血。你输了这场决斗。;Vous vous ruez sur [From.GetTitled.FirstName] mais il esquive votre attaque et vous donne un coup de pied dans les c魌es, ce qui vous d閟閝uilibre. Il avance vivement vers vous et plonge sa lance dans votre poitrine. Son coup est s鹯 et vous tombez au sol, ensanglant? Vous avez perdu le duel.;Ihr holt aus und stecht zu, doch [From.GetTitled.FirstName] weicht aus und tritt Euch in die Seite. Ihr stolpert und Euer Gegner st鲞t Euch den Speer in die Brust. Blutend fallt Ihr zu Boden. Das Duell habt Ihr verloren.;;Arremetes contra [From.GetTitled.FirstName], pero te esquiva y propina un golpe con la pierna en el costado, desequilibr醤dote. Da un r醦ido paso adelante y clava su lanza en tu pecho. Impacta de lleno y caes al suelo, sangrando. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1103;你的对手向人群退去。突然他从观众里面抓出一个女人，将她向你推过来。当你和她重重摔在地面的时候，他用他的武器刺向了你。你和女人一起尖叫起来，因为你感觉到巨大的痛楚开始在你体内蔓延。你输了这场决斗。;Votre adversaire recule et se rapproche de la foule. Soudain, il saisit une femme parmi les spectateurs et la lance sur vous. Alors que vous vous affalez tous les deux au sol, il frappe avec son arme et vous sentez une intense douleur. La femme hurle en m阭e temps que vous. Vous avez perdu le duel.;Euer Gegner zieht sich zur點k und kommt der Menge n鋒er. Pl鰐zlich schnappt er sich eine Frau aus den Zuschauern und st鲞t sie auf Euch zu. W鋒rend ihr beide verheddert zu Boden fallt, schl鋑t er mit seiner Waffe zu und Ihr f黨lt einen scharfen Schmerz. Das Duell habt Ihr verloren.;;Tu oponente recula, acerc醤dose a la muchedumbre. De repente, agarra a una mujer de entre el p鷅lico y la lanza hacia ti. Mientras ca閕s enredados al suelo, te golpea con su arma, sientes un dolor agudo mientras la mujer grita a la vez que t? Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1104;"你对着 [From.GetTitled.FirstName]迅速的移动,击中了他手中的武器. 你把他推向桌子. 致命的,在你过来之前，他抓了一把水果扔向你.你被水果滑倒! [From.GetTitled.FirstName] 从桌子上拿到了一支巨大的羊腿 并且无情的击向你. 这很痛. 你输了决斗.";Vous tentez une vive attaque contre [From.GetTitled.FirstName] qui lui fait l鈉her son arme. Vous le poussez contre une table sur laquelle des plats se trouvent dispos閟. Dans un geste d閟esp閞? il se saisit d'une coupe contenant des fruits et la jette ?vos pieds. Vous glissez sur les fruits, et vous voil??terre? [From.GetTitled.FirstName] se saisit d'un imposant gigot de mouton qui tra頽ait sur la table et commence ?vous marteler avec cette pauvre b阾e. Vous avez mal, vraiment mal. Vous avez perdu le duel.;Ihr geht schnell gegen [From.GetTitled.FirstName] vor und schlagt ihm die Waffe aus der Hand. Ihr dr點kt ihn gegen einen gro遝n Speisetisch. Verzweifelt greift er nach einigen Fr點hten und wirft sie vor Eure Fe. Ihr rutscht aus und fallt. [From.GetTitled.FirstName] schnappt sich ein gro遝s Hammelbein vom gleichen Tisch und schl鋑t wild auf Euch ein. Schmerz, so viel Schmerz! Ihr habt das Duell verloren.;;Te mueves con ligereza contra [From.GetTitled.FirstName], desarm醤dolo de un golpe. Lo persigues hasta una mesa de servicio. Desesperado, coge un pu馻do de fruta y la tira a tus pies. esbalas con la fruta, cayendo al suelo! [From.GetTitled.FirstName] agarra una gran pierna de carnero de la misma mesa y comienza a golpearte implacablemente. Duele, duele mucho. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1105;"一场艰苦的决斗,没有任何一方取得优势. 突然, [From.GetTitled.FirstName] 疯狂的注视着你身后的人群, 大喊";Le duel fait rage et aucun des deux adversaire ne semble prendre le dessus. Soudain, [From.GetTitled.FirstName] regarde la foule derri鑢e vous, les yeux 閏arquill閟, et hurle 獳idez-la, elle s'閠ouffe??Alors que vous vous retournez, [From.GetTitled.FirstName] vous frappe dans le dos d'un geste vif. Vous tombez au sol en l'insultant, couvert de sang. Vous avez perdu le duel.;"Das Duell ist in wildem Gange, kein K鋗pfer kann einen Vorteil erreichen. Pl鰐zlich starrt [From.GetTitled.FirstName] erschrocken in die Menge hinter Euch und ruft ""Helft ihr, sie erstickt!"". Als Ihr Euch umdreht, bewegt [From.GetTitled.FirstName] sich schnell und sticht Euch in den R點ken. Unter Fl點hen fallt Ihr blutend zu Boden. Ihr habt das Duell verloren.";;"Es un duelo muy re駃do, ning鷑 contendiente obtiene la ventaja. De repente, [From.GetTitled.FirstName] mira desencajado a la muchedumbre tras de ti, gritando ""yudadla, se est?ahogando!"" Te giras a mirar, y [From.GetTitled.FirstName] se mueve presto y te apu馻la en la espalda. Lo maldices mientras caes, sangrando por la herida. Has perdido el duelo.";;;;;;;;;;;x
EVTDESC_RoI_1106;"你压制着[From.GetTitled.FirstName] , 雨点般打击他. 他开始哀求,他被绊倒在地板上,击中了他的头部并且出局. 你转过来接受观众的祝贺,微笑着.突然你感到一阵剧痛.当你倒下时，你意识到 [From.GetTitled.FirstName] 欺骗了你并从背后捅了你。你输了决斗";Vous faites pleuvoir les attaques sur [From.GetTitled.FirstName] pour le maintenir sous pression. Alors qu'il recule, il tr閎uche et s'閠ale au sol. Sa t阾e heurte quelque chose et il s'関anouit. Les spectateurs vous acclament en ch渦r et vous les regardez en souriant. Quelques secondes plus tard, vous ressentez une intense douleur. En tombant, vous comprenez que [From.GetTitled.FirstName] simulait et il en a profit?pour vous frapper dans le dos. Vous avez perdu le duel.;Ihr setzt [From.GetTitled.FirstName] schwer unter Druck, Schlag um Schlag. Als er sich zur點kzieht, stolpert er 黚er seine Fe und f鋖lt zu Boden, st鲞t sich den Kopf und wird ohnm鋍htig. Ihr wendet Euch ab, um den Beifall des Publikums entgegen zu nehmen. Einen Moment sp鋞er f黨lt Ihr einen scharfen Schmerz. Im Fallen bemerkt Ihr, dass [From.GetTitled.FirstName] die Verletzung nur vorget鋟scht hat, um Euch in den R點ken zu fallen. Ihr habt das Duell verloren.;;Presionas duramente a [From.GetTitled.FirstName], con una incesante lluvia de golpes. Mientras retrocede, tropieza y cae al suelo, golpe醤dose la cabeza y perdiendo el conocimiento. Te vuelves para recibir los v韙ores del p鷅lico, sonriendo. Segundos m醩 tarde sientes un dolor agudo. Mientras caes, te das cuenta que [From.GetTitled.FirstName] fing韆 para poder apu馻larte por la espalda. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1107;"双方都在迂回，试图发现突破点. 你注意到[From.GetTitled.FirstName] 背对着门边的守卫.突然, 他跑出去抢了一张弓. 一秒之后.他已弯弓搭箭。 弓箭击中了你，你应声倒地. 你输了决斗。";Les deux combattants se tournent autour et tentent de trouver une faille. Vous remarquez que [From.GetTitled.FirstName] recule en direction des gardes pr鑣 de la porte. Soudain, d'un geste vif, il se saisit d'un arc que portait l'un des gardes. En une seconde, le voil?avec une fl鑓he pr阾e ?tirer. La fl鑓he vole. Vous tombez. Vous avez perdu le duel.;Beide K鋗pfer umkreisen sich, suchen nach einer 謋fnung in der Deckung des anderen. Ihr bemerkt, dass [From.GetTitled.FirstName] sich langsam in Richtung der Wachen zur點kzieht. Pl鰐zlich greift er zu und packt einen ihrer B鰃en. Eine Sekunde sp鋞er hat er einen Pfeil aufgelegt. Der Pfeil trifft Euch, blutend fallt Ihr zu Boden. Ihr habt das Duell verloren.;;Ambos contendientes gir醝s en c韗culos, tratando de encontrar un hueco. Te das cuenta de que [From.GetTitled.FirstName] retrocede hacia los guardas de la puerta. De repente, arranca un arco de uno de ellos. Un segundo m醩 tarde le arrebata una flecha y la carga. Tras un breve vuelo, la flecha te impacta y caes. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1110;"佯攻,之后左转抓住[From.GetTitled.FirstName] 挥舞着你的剑，把他踉跄的推到墙角. 流着血，他倒在了地板上. 你赢得了决斗l.";Une feinte ?droite, un pas ?gauche, votre 閜閑 remonte en diagonale et trouve [From.GetTitled.FirstName] sur sa trajectoire. Il recule contre le mur en titubant. Il s'affale au sol en saignant. Vous avez gagn?le duel.;Rechts ant鋟schtend und links zuschlagend, erwischt Ihr [From.GetTitled.FirstName] mit einem diagonalen Schwung Eures Schwertes. Gegend eine Wand taumelnd, f鋖lt er schlie遧ich blutend zu Boden. Ihr habt das Duell gewonnen.;;Amagando a la derecha y luego a la izquierda, das a [From.GetTitled.FirstName] un tajo diagonal hacia arriba, envi醤dolo tambaleante contra la pared. Sangrando, cae al suelo. Has ganado el duelo.;;;;;;;;;x
EVTOPTA_RoI_1110;[From.GetTitled.FirstName]只受了轻伤.;[From.GetTitled.FirstName] n'est que l間鑢ement bless?;[From.GetTitled.FirstName] ist nur leicht verwundet.;;[From.GetTitled.FirstName] tiene solo un rasgu駉.;;;;;;;;;x
EVTOPTB_RoI_1110;[From.GetTitled.FirstName]受伤倒地.;[From.GetTitled.FirstName] reste au sol, bless?;[From.GetTitled.FirstName] ist verwundet.;;[From.GetTitled.FirstName] yace herido.;;;;;;;;;x
EVTOPTC_RoI_1110;[From.GetTitled.FirstName]残废了.;[From.GetTitled.FirstName] reste au sol, mutil?;[From.GetTitled.FirstName] ist verst黰melt.;;[From.GetTitled.FirstName] yace mutilado.;;;;;;;;;x
EVTOPTD_RoI_1110;我杀了 [From.GetTitled.FirstName].;J'ai tu?[From.GetTitled.FirstName].;Ich habe [From.GetTitled.FirstName] get鰐et!;;He matado a [From.GetTitled.FirstName].;;;;;;;;;x
EVTDESC_RoI_1111;"[From.GetTitled.FirstName] 砍向你,但是他丢失了，中门大开. 你利用了这一点 抓着他的衣领拖着他，捅出了你的匕首. 匕首击中了他，他倒在地板上, 流着血. 你赢得了决斗";[From.GetTitled.FirstName] vous attaque mais manque son coup. Vous voyez une ouverture, le saisissez par le col et l'attirez vers vous en tentant de l'atteindre avec votre dague. La dague atteint son but et il tombe au sol, ensanglant? Vous avez gagn?le duel.;[From.GetTitled.FirstName] schl鋑t nach Euch, doch verfehlt. Ihr entdeckt eine 謋fnung seiner Deckung, schnappt ihn am Kragen und rammt ihm Euren Dolch in die Brust. Blutend f鋖lt er zu Boden. Das Duell ist gewonnen.;;[From.GetTitled.FirstName] lanza un golpe, pero al fallar ves un hueco y le agarras del cuello, tirando de 閘 hacia ti clavas tu daga hacia arriba. Alcanzas tu objetivo y cae al suelo, sangrando. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1112;"你敏捷的躲开了 [From.GetTitled.FirstName]的突袭, 并且踢中了他的侧面, 他站立不稳.你快速迈出一步，向他的胸膛刺出长矛. 你击中了他，他倒在地板上, 流着血. 你赢得决斗l.";Vous esquivez habilement une attaque de [From.GetTitled.FirstName] et, d'un coup de pied dans les c魌es, vous le d閟閝uilibrez. Vous faites un pas et plantez votre lance dans sa poitrine. Votre coup porte et votre adversaire tombe au sol, ensanglant? Vous avez gagn?le duel.;Flink weicht Ihr einen Hieb von [From.GetTitled.FirstName] aus und tretet ihm in die Seite. Mit einem schnellen Vorw鋜tsschritt rammt Ihr Euren Speer in seine Brust. Ihr trefft und er f鋖lt blutend zu Boden. Ihr habt das Duell gewonnen. ;;Esquivas la acometida de [From.GetTitled.FirstName], propin醤dole una patada en el costado que lo desequilibra. Das un r醦ido paso adelante y clavas tu lanza en su pecho. Impactas de lleno y 閘 cae al suelo, sangrando. Has ganado el duelo.;;;;;;;;;x
